Вопрос,Эталонный ответ преподавателя,Ответ студента,Оценка
Какие ошибки возникают из-за ситуации «интерпретация важности признаков» в Random Forest?,"Важность признаков в Random Forest нужно трактовать осторожно, потому что разные способы её расчёта могут быть смещены в пользу признаков с большим числом возможных разбиений. Кроме того, коррелирующие признаки часто делят важность между собой.","Ну вот, там есть штука «интерпретация важности признаков», типа. Ну и там ещё детали есть, не помню точно.",2
Примеры задач с большими графами,"Большие графы используются в социальных сетях для анализа сообществ, в рекомендательных системах и биоинформатике для изучения белковых взаимодействий","Анализ социальных графов (обнаружение сообществ, измерение центральности), рекомендательные системы на графах (Personalized PageRank), биоинформатика (анализ метаболических путей), интернет-поиск (алгоритм PageRank), транспортные сети (кратчайшие пути)",5
Чем опасна ситуация «квадратичная сложность attention по длине последовательности» в трансформерах?,"Классическая attention-механика требует памяти и вычислений порядка квадрата длины последовательности, поэтому длинные тексты становятся дорогими. Именно из-за этого для long context часто ищут приближённые или разреженные варианты attention.","По сути, классическая attention-механика требует памяти и вычислений порядка квадрата длины последовательности, поэтому длинные тексты становятся дорогими; именно из-за этого для long context часто ищут приближённые или разреженные варианты attention.",5
Когда в распределённых системах хранения особенно важен аспект «локальность данных»?,"Локальность данных снижает сетевые издержки, потому что вычисления по возможности запускают рядом с тем местом, где уже лежат данные. Для больших объёмов это даёт заметный выигрыш по времени и стабильности.","Ну, там есть штука «локальность данных», ну там. Короче, что-то в этом роде.",2
Что в Hadoop даёт аспект «локальность вычислений»?,"Hadoop старается запускать вычисления рядом с данными, чтобы уменьшать сетевой трафик и время обработки. Для больших наборов это особенно важно, потому что перенос данных обходится дорого.","Ну, в Hadoop вычисления стараются запускать там, где лежат данные, короче. Короче, что-то в этом роде.",3
Как устроен механизм «bootstrap-выборки» в Random Forest?,Bootstrap-выборки позволяют каждому дереву в Random Forest обучаться на своей случайной подвыборке объектов. Это увеличивает разнообразие деревьев и помогает снизить дисперсию ансамбля.,"Ммм, в Random Forest каждое дерево часто учится на своей bootstrap-выборке. Точный механизм я не раскрою полностью, как бы. Кажется, ну и там ещё детали есть, не помню точно.",3
Как выбор между «документные базы» и «key-value базы» влияет на результат в NoSQL-хранилищах?,"Документные базы хранят структурированные объекты с полями и вложенностями, а key-value базы оперируют простым доступом по ключу без сложной схемы документа. Поэтому документные базы удобнее для гибких сущностей, а key-value — для очень быстрого доступа.","Документные базы хранят структурированные объекты с полями и вложенностями, а key-value базы оперируют простым доступом по ключу без сложной схемы документа. Этого обычно достаточно для понимания идеи.",4
Как фактор «ключ сообщения» влияет на качество результата в Kafka?,"Ключ сообщения в Kafka влияет на выбор партиции и помогает сохранять порядок событий для одного объекта, например пользователя или заказа. Неправильный выбор ключа может сломать локальную последовательность обработки.","Ключ сообщения в Kafka влияет на выбор партиции и помогает сохранять порядок событий для одного объекта, например пользователя или заказа.",4
Когда в RAG-системах особенно важен аспект «актуальность базы знаний»?,"Актуальность базы знаний в RAG важна, потому что генератор отвечает на основе того, что удалось извлечь. Если документы устарели, система будет уверенно выдавать устаревшие факты.","В общем, «актуальность базы знаний» — это когда вот это всё используется, ну там. Дальше я уже не очень помню.",2
Для чего на практике используют подход «transfer learning на предобученных CNN или ViT» в компьютерном зрении?,"Transfer learning в компьютерном зрении особенно полезен, когда данных мало, а базовые визуальные признаки уже хорошо выучены на больших датасетах. Тогда модель можно быстро адаптировать под новую предметную область.","Transfer learning в компьютерном зрении особенно полезен, когда данных мало, а базовые визуальные признаки уже хорошо выучены на больших датасетах.",4
Какой эффект даёт механизм «случайный выбор подмножества признаков при каждом сплите» в Random Forest?,Случайный выбор подмножества признаков при каждом сплите уменьшает корреляцию между деревьями в лесу. Благодаря этому ансамбль лучше обобщает и меньше зависит от одного очень сильного признака.,Случайный выбор подмножества признаков при каждом сплите уменьшает корреляцию между деревьями в лесу.,4
Для чего на практике используют подход «transfer learning на предобученных CNN или ViT» в компьютерном зрении?,"Transfer learning в компьютерном зрении особенно полезен, когда данных мало, а базовые визуальные признаки уже хорошо выучены на больших датасетах. Тогда модель можно быстро адаптировать под новую предметную область.","Такой метод можно использовать везде, разницы по сценариям почти нет.",2
Что такое 'нормализация данных'?,Нормализация данных — это процесс приведения признаков к единому масштабу для корректной работы алгоритмов машинного обучения.,Это удаление лишних данных из таблицы.,2
Какую роль в MLflow играет фактор «Model Registry»?,"Model Registry в MLflow нужен для централизованного хранения версий моделей и управления их жизненным циклом. Через него удобнее переводить модели между стадиями вроде Staging и Production и отслеживать, что именно развернули.","Ммм, model Registry в MLflow нужен для централизованного хранения версий моделей и управления их жизненным циклом, ну там. Вот такой смысл.",4
Преимущества и недостатки непараметрических моделей,"Непараметрические модели обладают гибкостью, но требуют значительных вычислительных ресурсов и объемов данных",Модели гибкие но требуют много ресурсов,4
В чём практический смысл механизма «отрицательное значение R²» при оценке регрессионных моделей?,"Отрицательное значение R² означает, что модель предсказывает хуже, чем наивный baseline со средним значением целевой переменной. Это сигнал о плохой спецификации признаков, модели или данных.","Отрицательное значение R² означает, что модель предсказывает хуже, чем наивный baseline со средним значением целевой переменной.",4
Где применяется data mining в промышленности и бизнесе?,"Data mining применяется в маркетинге, финансах, медицине, логистике, телекоммуникациях и промышленности. Примеры: прогнозирование, анализ поведения пользователей, автоматизация решений, выявление закономерностей.",Это просто работа с таблицами. Не очень полезно.,2
Где применяется NLP в промышленности и бизнесе?,"Nlp помогает обрабатывать большие массивы информации, выявлять скрытые паттерны, повышать точность прогнозов и снижать затраты. Используется в умных городах, здравоохранении, кибербезопасности.",Помогает работать с данными и строить модели.,3
Зачем в XGBoost нужен элемент «регуляризация деревьев»?,Регуляризация в XGBoost ограничивает сложность деревьев и снижает переобучение на шумных данных. Штрафы на листья и глубину помогают удерживать модель от слишком агрессивной подгонки.,"Ммм, «регуляризация деревьев» — это когда вот это всё используется, короче. Ну вот, примерно так, наверное.",2
Чем отличается использование «документные базы» и «key-value базы» в NoSQL-хранилищах?,"Документные базы хранят структурированные объекты с полями и вложенностями, а key-value базы оперируют простым доступом по ключу без сложной схемы документа. Поэтому документные базы удобнее для гибких сущностей, а key-value — для очень быстрого доступа.","Ну, документные базы хранят структурированные объекты с полями и вложенностями, а key-value базы оперируют простым доступом по ключу без сложной схемы документа. Это и есть ключевой смысл, в общем-то. Ну, примерно так.",4
Какие риски связаны с ситуацией «рост задержки и сложности интерпретации» в ансамблевых методах?,"Платой за ансамбль нередко становятся большая задержка на инференсе и более слабая интерпретируемость. Особенно это заметно, когда в системе много сложных базовых моделей и требуется быстрый отклик.",Платой за ансамбль нередко становятся большая задержка на инференсе и более слабая интерпретируемость.,4
Что означает дисперсия выборки?,Дисперсия выборки — это мера разброса значений относительно среднего. Вычисляется как среднее квадратов отклонений от выборочного среднего.,Это про средние данные.,2
Для чего в MLflow отдельно контролируют аспект «стадии согласования модели»?,"Стадии согласования модели в MLflow нужны, чтобы отделить экспериментальную модель от проверенной и готовой к продакшену. Такой процесс снижает риск случайно развернуть неподтверждённую версию.","Ммм, если не ошибаюсь, особой роли тут нет, это просто дополнительная настройка. Обычно это просто часть общей настройки, как бы. Ну и там ещё детали есть, не помню точно.",2
Какую роль в системах Big Data играет фактор «горизонтальное масштабирование»?,"Горизонтальное масштабирование в Big Data важно, потому что объёмы данных и нагрузка часто превышают возможности одного сервера. Добавлять узлы обычно дешевле и надёжнее, чем бесконечно усиливать одну машину.","По сути, горизонтальное масштабирование в Big Data важно, потому что объёмы данных и нагрузка часто превышают возможности одного сервера; добавлять узлы обычно дешевле и надёжнее, чем бесконечно усиливать одну машину.",5
Как принято формулировать нулевую гипотезу,Утверждение об отсутствии статистически значимых различий или эффектов в исследуемых данных,Формулируется как утверждение об отсутствии статистически значимых различий или эффектов,5
Зачем в проектах Big Data нужен элемент «характеристики 5V»?,"Характеристики 5V описывают большие данные через объём, скорость поступления, разнообразие, достоверность и ценность. Этот набор помогает понять, какие именно инженерные и аналитические проблемы нужно решать в проекте.","Ну, 5V помогают описать, чем именно сложны большие данные, короче. Я не уверен, но, ну вот, примерно так, наверное.",3
Какие методы использовать для балансировки классов в задачах классификации с сильным дисбалансом?,"Oversampling (SMOTE), undersampling, изменение весов классов в функции потерь, использование алгоритмов устойчивых к дисбалансу, ансамблирование.","SMOTE, undersampling, взвешивание классов, устойчивые алгоритмы, ансамбли. Выбирать based on объема данных и важности редкого класса.",4
Как можно объяснить работу механизма «случайный выбор подмножества признаков при каждом сплите» в Random Forest на практике?,Случайный выбор подмножества признаков при каждом сплите уменьшает корреляцию между деревьями в лесу. Благодаря этому ансамбль лучше обобщает и меньше зависит от одного очень сильного признака.,"Лес случайно ограничивает признаки в сплите, чтобы деревья были менее похожими. Подробности работы зависят от реализации.",3
Что такое Quantum Machine Learning и какие преимущества оно обещает?,"Применение квантовых вычислений для ML алгоритмов. Обещает экспоненциальное ускорение для optimization problems, quantum feature spaces, обработки больших данных.","Использование квантовых компьютеров для ML. Преимущества: ускорение сложных оптимизаций, работа с высокоразмерными пространствами признаков, новые алгоритмы.",5
Какие ошибки возникают из-за ситуации «слишком высокая learning rate» в XGBoost и похожих моделях?,Слишком высокая learning rate в бустинге делает шаги обучения грубыми и повышает риск переобучения или нестабильной сходимости. Часто лучше использовать меньший шаг и больше деревьев.,"Эээ, большая learning rate в бустинге часто ведёт к переобучению, типа. Вроде бы, ну вот, примерно так, наверное.",3
Какие методы feature selection используются в машинном обучении?,"Методы отбора признаков включают фильтры (correlation), встроенные методы (L1-регуляризация) и методы-обертки (recursive feature elimination)","Фильтры, встроенные методы и обертки для выбора фич",3
Какие реальные примеры использования ETL-пайплайны существуют?,"Технологии ETL-пайплайны позволяют работать с данными высокой скорости, разнообразия и объёма. Это улучшает прогнозирование, принятие решений и автоматизацию.",Etl-пайплайны применяется в некоторых компаниях для анализа данных.,3
Как бороться с переобучением в глубоких нейронных сетях?,"Dropout, batch normalization, early stopping, регуляризация L1/L2, data augmentation, уменьшение сложности сети, увеличение данных.","Добавить dropout, использовать early stopping, увеличить количество тренировочных данных.",3
Почему ситуация «слишком большой коэффициент регуляризации» может стать проблемой в моделях машинного обучения?,"Слишком большой коэффициент регуляризации приводит к недообучению, потому что модель становится чрезмерно ограниченной и перестаёт использовать полезный сигнал в данных. Баланс между смещением и дисперсией тут критичен.","Главная идея в том, что слишком большой коэффициент регуляризации приводит к недообучению, потому что модель становится чрезмерно ограниченной и перестаёт использовать полезный сигнал в данных; баланс между смещением и дисперсией тут критичен.",5
Почему механизм «гистограммный способ поиска сплитов» помогает улучшать результат в LightGBM?,"LightGBM ускоряет обучение за счёт биннинга признаков и поиска сплитов по гистограммам, а не по всем возможным значениям. Это уменьшает вычисления и потребление памяти на больших данных.","Ммм, lightGBM работает быстрее благодаря гистограммам и биннингу признаков. Подробности работы зависят от реализации, ну там. Кажется, ну и там ещё детали есть, не помню точно.",3
"Что делать, если ситуация «p-value как единственный критерий решения» ухудшает результат в проверке гипотез?","P-value нельзя трактовать как полную меру истины гипотезы, потому что он чувствителен к размеру выборки и не отражает размер эффекта. Для вывода важны ещё доверительные интервалы, мощность теста и предметный смысл результата.","P-value нельзя трактовать как полную меру истины гипотезы, потому что он чувствителен к размеру выборки и не отражает размер эффекта.",4
Как специалисты анализируют данные в рамках big data?,"Big data помогает компаниям анализировать пользовательское поведение, выявлять закономерности и строить точные модели. Применяется в цифровых сервисах, рекламе и смарт?системах.","Big data широко применяется в промышленности, здравоохранении, финансах и государственных системах. Позволяет анализировать большие массивы данных, строить точные модели и улучшать эффективность процессов.",5
Как объяснить значимость фактора «регуляризация деревьев» в XGBoost?,Регуляризация в XGBoost ограничивает сложность деревьев и снижает переобучение на шумных данных. Штрафы на листья и глубину помогают удерживать модель от слишком агрессивной подгонки.,"Здесь важно, что регуляризация в XGBoost ограничивает сложность деревьев и снижает переобучение на шумных данных; штрафы на листья и глубину помогают удерживать модель от слишком агрессивной подгонки.",5
Как на практике отличить применение «ETL» от «ELT» в построении дата-пайплайнов?,"ETL преобразует данные до загрузки в целевое хранилище, а ELT сначала загружает сырые данные и обрабатывает их уже внутри платформы. ELT удобнее там, где хранилище само умеет эффективно считать большие объёмы.","Ммм, «ETL и ELT» — это когда вот это всё используется, ну там. Короче, что-то в этом роде.",2
Зачем в MLflow нужен элемент «Model Registry»?,"Model Registry в MLflow нужен для централизованного хранения версий моделей и управления их жизненным циклом. Через него удобнее переводить модели между стадиями вроде Staging и Production и отслеживать, что именно развернули.",Реестр моделей в MLflow помогает хранить версии и стадии моделей.,3
Виды связи между переменными при корреляции.,"Корреляция отражает степень и направление линейной связи между двумя переменными. Связи могут быть положительные, отрицательные или нулевые. Для оценки используется коэффициент корреляции Пирсона или Спирмена.","Корреляция — это зависимость между переменными, выражаемая коэффициентом, например, Пирсона.",5
Как устроен механизм «ленивое выполнение преобразований» в Spark?,"Spark не выполняет трансформации сразу, а сначала строит план вычислений и запускает его только при action. Это позволяет оптимизировать DAG и уменьшать число лишних проходов по данным.","Если кратко, то spark не выполняет трансформации сразу, а сначала строит план вычислений и запускает его только при action; это позволяет оптимизировать DAG и уменьшать число лишних проходов по данным.",5
Разница между линейной и логистической регрессией,"Линейная регрессия моделирует непрерывные количественные зависимости между переменными, тогда как логистическая регрессия предсказывает вероятности бинарной или мультиклассовой классификации с использованием сигмоидной функции",Два статистических метода для разных типов задач анализа данных,2
Как глубокое обучение помогает в анализе больших объемов данных?,"Глубокое обучение применяется в маркетинге, финансах, медицине, логистике, телекоммуникациях и промышленности. Примеры: прогнозирование, анализ поведения пользователей, автоматизация решений, выявление закономерностей.","Используется компаниями для анализа клиентов, предсказания событий и оптимизации процессов.",4
Почему результат в MLflow зависит от фактора «Model Registry»?,"Model Registry в MLflow нужен для централизованного хранения версий моделей и управления их жизненным циклом. Через него удобнее переводить модели между стадиями вроде Staging и Production и отслеживать, что именно развернули.","Здесь важно, что model Registry в MLflow нужен для централизованного хранения версий моделей и управления их жизненным циклом; через него удобнее переводить модели между стадиями вроде Staging и Production и отслеживать, что именно развернули.",5
Когда стоит использовать подход «масштабирование признаков для деревьев решений» для разных типов моделей?,"Для деревьев решений и ансамблей на их основе масштабирование обычно не критично, потому что разбиения зависят от порядка значений, а не от их абсолютного масштаба. Гораздо важнее оно для линейных и дистанционных методов.","Ну вот, там есть штука «масштабирование признаков для деревьев решений», типа. Ну вот, примерно так, наверное.",2
Что такое Vector Database и для каких задач она оптимальна?,"Специализированная БД для хранения и поиска векторных эмбеддингов. Оптимальна для semantic search, рекомендательных систем, similarity search в больших наборах данных.","БД для векторных эмбеддингов с эффективным поиском ближайших соседей. Используется в рекомендательных системах, поиске по смыслу, кластеризации.",4
Что означает термин 'переподгонка' (overfitting)?,"Переподгонка — это ситуация, когда модель слишком хорошо запоминает обучающую выборку, теряя способность обобщать на новых данных.",Это когда модель долго учится и перестает давать точные ответы.,3
Что в задачах классификации даёт аспект «дисбаланс классов»?,"При дисбалансе классов высокая accuracy может быть обманчивой, потому что модель учится угадывать только большинство. Поэтому нужно смотреть на precision, recall, F1, PR-AUC и использовать балансировку данных или весов.","Ммм, тут, кажется, речь про «дисбаланс классов». Это, в общем-то, нужно для системы или данных. Короче, что-то в этом роде.",2
Как объяснить значимость фактора «субсловная токенизация» в NLP?,"Субсловная токенизация помогает работать с редкими словами, опечатками и продуктивным словообразованием, разбивая слова на более устойчивые части. Это уменьшает проблему неизвестных токенов и делает модель компактнее.","Субсловная токенизация помогает работать с редкими словами, опечатками и продуктивным словообразованием, разбивая слова на более устойчивые части. Это и есть ключевой смысл.",4
Почему в Spark важен следующий фактор: «кэширование DataFrame»?,"Кэширование DataFrame полезно, когда один и тот же набор данных используется в нескольких действиях или этапах пайплайна. Оно экономит повторные вычисления, но требует аккуратно следить за памятью.","Смысл в том, что кэширование DataFrame полезно, когда один и тот же набор данных используется в нескольких действиях или этапах пайплайна; оно экономит повторные вычисления, но требует аккуратно следить за памятью.",5
